"Actor","BegYear","EndYear","Show","RT_Mean","RT_Med","RT_Max","RT_SD"
"Fred Armisen",2002,2013,"SNL",53.6086956521739,53.5,84,23.0028773667504
"Dan Aykroyd",1975,1979,"SNL",57.6666666666667,55.5,93,23.1713867790883
"Peter Aykroyd",1979,1980,"SNL",50.9444444444444,44.5,75,14.7148273449215
"Morwenna Banks",1995,1995,"SNL",52.1724137931034,50,92,27.2437004061978
"Vanessa Bayer",2010,2016,"SNL",71.7142857142857,75,85,15.4888592835225
"Jim Belushi",1983,1985,"SNL",50.9270833333333,50,95,20.5099435661759
"John Belushi",1975,1979,"SNL",63.5,64,93,25.2499271984973
"Beck Bennett",2013,2016,"SNL",64.8888888888889,69,88,20.6727141689501
"Jim Breuer",1995,1998,"SNL",62.92,67,89,15.4890283749498
"Paul Brittain",2010,2012,"SNL",45,45,54,12.7279220613579
"A. Whitney Brown",1986,1991,"SNL",64.5,64.5,70,7.77817459305202
"Aidy Bryant",2012,2016,"SNL",61.4,66,75,11.0363037290571
"Beth Cahill",1991,1992,"SNL",57.8,61,82,16.5740761431822
"Dana Carvey",1986,1993,"SNL",60.5151515151515,61,94,16.7053906197244
"Chevy Chase",1975,1976,"SNL",51.4117647058824,52.5,93,24.2260716190856
"Michael Che",2014,2016,"SNL",57.2,59,85,28.5341900182921
"Ellen Cleghorne",1991,1995,"SNL",62.4,61,88,19.4781929346641
"George Coe",1975,1975,"SNL",52.3004926108374,53,96,26.4603822995682
"Billy Crystal",1984,1985,"SNL",56.9381443298969,60,95,23.2812578559225
"Jane Curtin",1975,1980,"SNL",54.3703703703704,53,93,20.6419068665741
"Joan Cusack",1985,1986,"SNL",59.4259259259259,60.5,97,21.4428611965917
"Pete Davidson",2014,2016,"SNL",67.2,72,74,10.5688220724923
"Tom Davis",1977,1980,"SNL",54.9285714285714,49,93,22.3106193608276
"Denny Dillon",1980,1981,"SNL",53.4444444444444,55,82,24.1666328600169
"Jim Downey",1979,1980,"SNL",71.2,66,86,10.7098085883922
"Robert Downey, Jr.",1985,1986,"SNL",63.0106382978723,67,91,18.8048807899353
"Brian Doyle-Murray",1979,1980,"SNL",58.25,55,95,24.0120461062558
"Brian Doyle-Murray",1981,1982,"SNL",58.25,55,95,24.0120461062558
"Rachel Dratch",1999,2006,"SNL",47.6486486486486,44,80,21.2069383512622
"Robin Duke",1981,1984,"SNL",57.1538461538462,56,87,18.4970545125711
"Nora Dunn",1985,1990,"SNL",58.1764705882353,61,89,20.2382863724703
"Christine Ebersole",1981,1982,"SNL",63.3939393939394,63,97,21.1023390201468
"Dean Edwards",2001,2003,"SNL",56.8888888888889,64,92,28.2375833086175
"Abby Elliott",2008,2012,"SNL",56.9,51.5,83,12.7580040236185
"Chris Elliott",1994,1995,"SNL",61.9736842105263,61.5,89,20.5037726813348
"Jimmy Fallon",1998,2004,"SNL",56.9722222222222,62,92,24.8406189376664
"Siobhan Fallon",1991,1992,"SNL",56.4857142857143,54,95,23.1775391128509
"Chris Farley",1990,1995,"SNL",65,64,91,17.5739040984967
"Will Ferrell",1995,2002,"SNL",61.7745098039216,66,92,18.7726928617628
"Tina Fey",2000,2006,"SNL",61.1219512195122,66,92,20.5939252231711
"Will Forte",2002,2010,"SNL",58.6285714285714,65,96,22.0921675158011
"Al Franken",1977,1980,"SNL",59.4516129032258,61,89,20.6927341671377
"Al Franken",1985,1986,"SNL",59.4516129032258,61,89,20.6927341671377
"Al Franken",1987,1995,"SNL",59.4516129032258,61,89,20.6927341671377
"Janeane Garofalo",1994,1995,"SNL",57.8080808080808,61,95,22.1196545566989
"Ana Gasteyer",1996,2002,"SNL",54.9032258064516,52,88,22.9758639136953
"Gilbert Gottfried",1980,1981,"SNL",54.1971830985916,55,94,21.9555523197663
"Mary Gross",1981,1985,"SNL",52.8484848484849,51,88,25.3526640761395
"Christopher Guest",1984,1985,"SNL",58.7941176470588,60.5,95,24.4366734572772
"Bill Hader",2005,2013,"SNL",65.8,74,93,21.7893439599287
"Anthony Michael Hall",1985,1986,"SNL",51.2222222222222,48,92,27.0758668208899
"Brad Hall",1982,1984,"SNL",53.8235294117647,51,82,17.5400801527446
